Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.,Invoice Date,Submitted Date,Amount,Remarks (If any),DC Number,Original DC,, Overdue Days ,
6269-4095,6269-,583,A. G. Associates,6269,,4095,3083,14-Feb-20,25-Feb-20,"69,200.00",Services ,,,,,
6269-1835,6269-1782,584,A. G. Associates,6269,1782,1835,3083,14-Feb-20,25-Feb-20,"69,200.00",,3083,,,,
7011-1837,7011-1780,585,Sh. Wilayat Ahmed & sons,7011,1780,1837,2223,17-Feb-20,25-Feb-20,"91,260.00",,04323,,,,
6505-4041,6505-2275,586,Superline Marketing ,6505,2275,4041,INV-1677-19/20,17-Feb-20,26-Feb-20,"40,751.10",,DC-1474,,,,
4743-4097,4743-,587,Technoman ,4743,,4097,N2405/SD,04-Feb-20,26-Feb-20,"134,188.00",Services ,,,,,
7554-4101,7554-2308,588,Industrad,7554,2308,4101,ST/02/1468,25-Feb-20,26-Feb-20,"28,197.00",,DC/02/20KHI/G/1468,,,,
7415-4103,7415-2309,589,Industrad,7415,2309,4103,ST/02/1467,25-Feb-20,26-Feb-20,"3,112.00",,DC/02/20KHI/G/1467,,,,
7182-4106,7182-,590,Kontel Technologies,7182,,4106,1,13-Jan-20,27-Feb-20,"7,910.00",Services ,,,,,
7074-4040,7074-2274,591,Pak Gases,7074,2274,4040,2752,19-Feb-20,27-Feb-20,"5,463.90",,3437,,,,
7074-4031,7074-2266,592,Pak Gases,7074,2266,4031,2752,19-Feb-20,26-Feb-20,"5,463.90",,3427,,,,
6991-4032,6991-2267,593,Pak Gases,6991,2267,4032,2751,19-Feb-20,26-Feb-20,"1,579.50",,3426,,,,
7576-4098,7576-2306,594,Musaji Adam & sons,7576,2306,4098,Khi-6618,25-Feb-20,26-Feb-20,"154,440.00",,DC-8063,,,,
7576-4099,7576-2307,595,Musaji Adam & sons,7576,2307,4099,Khi-6618,25-Feb-20,26-Feb-20,"154,440.00",,DC-8246,,,,
7555-,7555-5056,596,ICI Pakistan LTD,7555,5056,,70489072,21-Feb-20,27-Feb-20,"324,499.50",,60492662,,,,
7101-,7101-4907,597,A. M. Yousuf & Co,7101,4907,,AMY/2567,06-Feb-20,27-Feb-20,"117,000.00",,3893,,,,
5469-4651,5469-5040,598,IdeaPac,5469,5040,4651,057,17-Feb-20,27-Feb-20,"315,900.00",,0217/3,,,,
7538-,7538-5078,599,Maya Corporation,7538,5078,,6619,25-Feb-20,27-Feb-20,"175,500.00",,KHI F-3885,,,,
7581-,7581-5077,600,Maya Corporation,7581,5077,,6620,25-Feb-20,27-Feb-20,"53,820.00",,KHI F-3886,,,,
7284-4091,7284-2302,601,Pak Gases,7284,2302,4091,2750,19-Feb-20,27-Feb-20,"4,563.00",,3353,,,,
5668-4036,5668-2270,602,Javed Chemical ,5668,2270,4036,21825,14-Feb-20,27-Feb-20,"10,530.00",,10170,,,,
7456-4114,7456-2320,603,Technology Links,7456,2320,4114,11752,04-Feb-20,27-Feb-20,"48,500.00",,TL-11058,,,,
6737-1858,6737-1803,604,Imran Engineering,6737,1803,1858,157,27-Feb-20,27-Feb-20,"278,500.00",,128,,,,
7579-1849,7579-1795,605,Jubilee Corporation,7579,1795,1849,133535,20-Feb-20,27-Feb-20,"127,764.00",,4187/2/2019,,,,
7142-1856,7142-1801,606,Karimi Electromech Systems,7142,1801,1856,532,25-Feb-20,27-Feb-20,"72,248.00",,ST-067,,,,
7535-4117,7535-,607,Prime Engineering Services,7535,,4117,0037,22-Feb-20,27-Feb-20,"206,750.00",Services ,,,,,
7444-,7444-5065,608,Metier Ampoule ,7444,5065,,19200087,14-Feb-20,28-Feb-20,"214,513.00",,19200087,,,,
7570-,7570-,609,Nestle Water,7570,,,M-246751,31-Jan-20,28-Feb-20,"18,240.00",35-H,,,,,
7570-,7570-,610,Nestle Water,7570,,,M-249436,08-Feb-20,28-Feb-20,"22,240.00",35-H,,,,,
5884-4654,5884-5023,611,RAFHAN MAIZE PRODUCTS ,5884,5023,4654,7210452465,14-Feb-20,28-Feb-20,"260,000.00",,7110454446,,,,
7590-1857,7590-1802,612,Naseer Autos,7590,1802,1857,1900/13472,01-Feb-20,28-Feb-20,"21,862.00",,1900/13472,,,,
6982-1863,6982-1808,613,Ammar Electric,6982,1808,1863,2528,26-Feb-20,02-Mar-20,"247,104.00",,2688,,,,
7008-4128,7008-2330,614,Kamtec International ,7008,2330,4128,10253,29-Feb-20,02-Mar-20,"40,000.00",,8375,,,,
7601-4124,7601-2326,615,Maxim Pakistan ,7601,2326,4124,MXP826/02,28-Feb-20,02-Mar-20,"348,075.00",,02-28022020,,,,
7381-4120,7381-,616,Muhammad Ahsan Contractor,7381,,4120,13870,28-Feb-20,02-Mar-20,"30,400.00",Services ,,,,,
7205-4135,7205-,617,Techno Energy system,7205,,4135,7205,02-Mar-20,03-Mar-20,"350,000.00",Services ,,,,,
7476-,7476-5087,618,SWS ,7476,5087,,2103/02/2020,29-Feb-20,03-Mar-20,"1,250,145.00",,001123,,,,
7476-,7476-5088,619,SWS ,7476,5088,,2103/02/2020,29-Feb-20,03-Mar-20,"1,250,145.00",,001123,,,,
5940-4104,5940-2311,620,Morgan Technology,5940,2311,4104,I-2502,29-Feb-20,03-Mar-20,"29,250.00",,N/A,,,,
2206-4102,2206-2310,621,Morgan Technology,2206,2310,4102,I-2503,29-Feb-20,03-Mar-20,"27,167.00",,N/A,,,,
7537-,7537-5081,622,Mak-Kemikal ,7537,5081,,BMK-2003,26-Feb-20,03-Mar-20,"150,345.00",,BMK-2003,,,,
6225-,6225-5079,623,Mak-Kemikal ,6225,5079,,BMK-2002,25-Feb-20,03-Mar-20,"198,900.00",,BMK-2002,,,,
7545-4085,7545-2297,624,Paper N Plus,7545,2297,4085,PNP/20-059,29-Feb-20,03-Mar-20,"11,700.00",,PNP/20-059,,,,
7213-,7213-5082,625,United Tubes,7213,5082,,26889,26-Feb-20,03-Mar-20,"119,238.00",,26389,,,,
7573-4115,7573-2321,626,Javed Chemical ,7573,2321,4115,21875,27-Feb-20,03-Mar-20,"17,550.00",,10241,,,,
6440-4108,6440-2314,627,Javed Chemical ,6440,2314,4108,27871,27-Feb-20,03-Mar-20,"15,210.00",,10235,,,,
5511-4107,5511-2313,628,Javed Chemical ,5511,2313,4107,21870,27-Feb-20,03-Mar-20,"12,285.00",,10234,,,,
4556-4111,4556-2317,629,Javed Chemical ,4556,2317,4111,21869,27-Feb-20,03-Mar-20,"31,707.00",,10231,,,,
6753-4109,6753-2315,630,Javed Chemical ,6753,2315,4109,21873,27-Feb-20,03-Mar-20,"55,575.00",,10237,,,,
6652-4110,6652-2316,631,Javed Chemical ,6652,2316,4110,21872,27-Feb-20,03-Mar-20,"30,420.00",,10236,,,,
7274-4112,7274-2318,632,Javed Chemical ,7274,2318,4112,21874,27-Feb-20,03-Mar-20,"116,298.00",,10232,,,,
7340-4088,7340-2299,633,Superline Marketing ,7340,2299,4088,INV-1788-19/20,29-Feb-20,03-Mar-20,"19,585.80",,DC-1519,,,,
6008-,6008-5098,634,Martin Dow,6008,5098,,9200013423,02-Mar-20,03-Mar-20,"111,881.25",,8300013548,,,,
6008-,6008-5099,635,Martin Dow,6008,5099,,9200013423,02-Mar-20,03-Mar-20,"111,881.25",,8300013548,,,,
7496-,7496-5097,636,Martin Dow,7496,5097,,9200013422,02-Mar-20,03-Mar-20,"7,605.00",,8300013547,,,,
7103-4688,7103-5083,637,Mirpurkhas Sugar Mills,7103,5083,4688,MSM/SUG/2019.2020/0000203,26-Feb-20,04-Mar-20,"1,560,000.00",,630,,,,
6371-4140,6371-,638,EUROASIA MACHINERY INTERNATIONAL,6371,,4140,S-00501,28-Feb-20,04-Mar-20,"30,510.00",Services ,,,,,
6469-4134,6469-,639,Techno Energy system,6469,,4134,0,02-Mar-20,04-Mar-20,"125,000.00",Services ,,,,,
7458-4139,7458-,640,Friends Electric Works,7458,,4139,847,03-Mar-20,04-Mar-20,"15,500.00",Services ,,,,,
6691-1867,6691-1812,641,Advance Engineering Group,6691,1812,1867,2672,02-Mar-20,04-Mar-20,"59,623.00",,DC/20/0073,,,,
5962-1855,5962-1800,642,Sh. Wilayat Ahmed & sons,5962,1800,1855,2272,20-Feb-20,04-Mar-20,"31,005.00",,04372,,,,
6891-1865,6891-1810,643,Cyber Engineering,6891,1810,1865,N/A (Quotation # CECS-1138) ,03-Mar-20,04-Mar-20,"174,000.00",,N/A,,,,
5380-4142,5380-,644,Supernet,5380,,4142,2020/03/0378-001,01-Mar-20,04-Mar-20,"96,795.00",Services ,,,,,
5380-4142,5380-,645,Supernet,5380,,4142,2020/03/0379-002,01-Mar-20,04-Mar-20,"45,410.00",Services ,,,,,
5380-4142,5380-,646,Supernet,5380,,4142,2020/03/0383-003,01-Mar-20,04-Mar-20,"23,900.00",Services ,,,,,
5380-4142,5380-,647,Supernet,5380,,4142,2020/03/0442-004,01-Mar-20,04-Mar-20,"48,397.50",Services ,,,,,
6852-4143,6852-,648,Supernet,6852,,4143,2020/03/0467-005,01-Mar-20,04-Mar-20,"111,583.12",Services ,,,,,
7589-4133,7589-2335,649,Health factory international,7589,2335,4133,9274,31-Jan-20,04-Mar-20,"3,480.00",,,,,,
7589-4133,7589-2335,650,Health factory international,7589,2335,4133,9272,31-Jan-20,04-Mar-20,"31,411.00",,,,,,
7589-4133,7589-2335,651,Health factory international,7589,2335,4133,9273,31-Jan-20,04-Mar-20,"13,564.00",,,,,,
7592-1864,7592-1809,652,Defence Battery,7592,1809,1864,008897,10-Feb-20,04-Mar-20,"5,500.00",,,,,,
7594-,7594-,653,Asad Water Supplier,7594,,,7594,01-Feb-20,04-Mar-20,"16,200.00",Chorangi,,,,,
6716-4030,6716-2265,654,NOOR & CO.,6716,2265,4030,072,13-Feb-20,04-Mar-20,"30,000.00",,016,,,,
6844-1869,6844-1814,655,Imran Engineering,6844,1814,1869,176,04-Feb-20,04-Mar-20,"6,600.00",,146,,,,
7405-,7405-295,656,Metier Impressions,7405,295,,19200377,29-Feb-20,04-Mar-20,"199,312.00",,19200377,,,,
7529-,7529-5095,657,Metier Impressions,7529,5095,,19200376,29-Feb-20,04-Mar-20,"19,007.00",,19200376,,,,
7454-,7454-5091,658,Metier Impressions,7454,5091,,19200373,29-Feb-20,04-Mar-20,"14,976.00",,19200373,,,,
7454-,7454-5092,659,Metier Impressions,7454,5092,,19200373,29-Feb-20,04-Mar-20,"14,976.00",,19200373,,,,
7560-,7560-5093,660,Metier Impressions,7560,5093,,19200374,29-Feb-20,04-Mar-20,"60,526.00",,19200374,,,,
7405-,7405-5094,661,Metier Impressions,7405,5094,,19200375,29-Feb-20,04-Mar-20,"61,058.00",,19200375,,,,
7336-4116,7336-2322,662,Metier Impressions,7336,2322,4116,19200372,26-Feb-20,04-Mar-20,"249,210.00",,19200372,,,,
2309-4123,2309-2325,663,Well Rish Uniform House,2309,2325,4123,1333,28-Feb-20,05-Mar-20,"96,000.00",,795,,,,
7012-4144,7012-,664,Muhammad Ahsan Contractor,7012,,4144,0,02-Mar-20,05-Mar-20,"61,250.00",Services ,,,,,
7591-1871,7591-1816,665,New Zafcom Tyres Company,7591,1816,1871,8420,11-Feb-20,05-Mar-20,"1,755.00",,8405,,,,
7593-4146,7593-2339,666,Asad Water Supplier,7593,2339,4146,0,01-Feb-20,05-Mar-20,"1,119,150.00",,To many…,,,,
7341-,7341-5107,667,Ghani Glass,7341,5107,,PH22003000182,03-Mar-20,05-Mar-20,"468,146.25",,10610117,,,,
7181-4058,7181-2286,668,Pakistan Oxygen ,7181,2286,4058,371582878,03-Mar-20,06-Mar-20,"23,727.60",,7102,,,,
7181-4074,7181-,669,Pakistan Oxygen ,7181,,4074,371582931,03-Mar-20,06-Mar-20,"1,001.00",Services ,7102,,,,
7181-4052,7181-2282,670,Pakistan Oxygen ,7181,2282,4052,371582877,03-Mar-20,06-Mar-20,"47,736.00",,25559,,,,
7181-4072,7181-,671,Pakistan Oxygen ,7181,,4072,371582930,03-Mar-20,06-Mar-20,"1,963.50",Services ,25559,,,,
7181-4011,7181-2254,672,Pakistan Oxygen ,7181,2254,4011,371582874,03-Mar-20,06-Mar-20,"79,279.20",,25185,,,,
7181-4070,7181-,673,Pakistan Oxygen ,7181,,4070,371582927,03-Mar-20,06-Mar-20,"3,260.95",Services ,25185,,,,
7181-4022,7181-2259,674,Pakistan Oxygen ,7181,2259,4022,371582875,03-Mar-20,06-Mar-20,"23,727.60",,7006,,,,
7181-4073,7181-,675,Pakistan Oxygen ,7181,,4073,371582928,03-Mar-20,06-Mar-20,"1,001.00",Services ,7006,,,,
7181-4035,7181-2269,676,Pakistan Oxygen ,7181,2269,4035,371582876,03-Mar-20,06-Mar-20,"62,618.40",,25417,,,,
7181-4071,7181-,677,Pakistan Oxygen ,7181,,4071,371582929,03-Mar-20,06-Mar-20,"2,575.65",Services ,25417,,,,
7181-4105,7181-2312,678,Pakistan Oxygen ,7181,2312,4105,371582880,03-Mar-20,06-Mar-20,"23,727.60",,7196,,,,
7181-4152,7181-,679,Pakistan Oxygen ,7181,,4152,371582933,03-Mar-20,06-Mar-20,"1,001.00",Services ,7196,,,,
7181-4093,7181-2303,680,Pakistan Oxygen ,7181,2303,4093,371582879,03-Mar-20,06-Mar-20,"65,800.80",,25681,,,,
7181-4153,7181-,681,Pakistan Oxygen ,7181,,4153,371582932,03-Mar-20,06-Mar-20,"2,706.55",Services ,25681,,,,
7181-4125,7181-2327,682,Pakistan Oxygen ,7181,2327,4125,371582882,03-Mar-20,06-Mar-20,"24,336.00",,25876,,,,
7181-4154,7181-,683,Pakistan Oxygen ,7181,,4154,371582935,03-Mar-20,06-Mar-20,"1,001.00",Services ,25876,,,,
7181-4126,7181-2328,684,Pakistan Oxygen ,7181,2328,4126,371582881,03-Mar-20,06-Mar-20,"77,968.80",,25906,,,,
7181-4155,7181-,685,Pakistan Oxygen ,7181,,4155,371582934,03-Mar-20,06-Mar-20,"3,207.05",Services ,25906,,,,
5759-433,5759-296,686,Iftekhar International ,5759,296,433,M/523,02-Mar-20,06-Mar-20,"21,060.00",,M/523,,,,
5759-431,5759-294,687,Iftekhar International ,5759,294,431,M/517,28-Feb-20,06-Mar-20,"42,120.00",,M/517,,,,
5866-,5866-5101,688,Mansoor Chem,5866,5101,,00637,02-Mar-20,06-Mar-20,"69,030.00",,0028,,,,
7553-,7553-5089,689,Toss Enterprises,7553,5089,,20-0148,28-Feb-20,06-Mar-20,"391,950.00",,670,,,,
7573-4137,7573-2336,690,Javed Chemical ,7573,2336,4137,21882,03-Mar-20,06-Mar-20,"147,420.00",,10258,,,,
7573-4130,7573-2333,691,Javed Chemical ,7573,2333,4130,21879,03-Mar-20,06-Mar-20,"473,850.00",,10257,,,,
5494-4147,5494-,692,Multinet,5494,,4147,598148,01-Mar-20,06-Mar-20,"37,642.50",Services ,,,,,
5494-4148,5494-,693,Multinet,5494,,4148,598149,01-Mar-20,06-Mar-20,"7,910.00",Services ,,,,,
5494-4149,5494-,694,Multinet,5494,,4149,598150,01-Mar-20,06-Mar-20,"1,695.00",Services ,,,,,
5494-4151,5494-,695,Multinet,5494,,4151,598151,01-Mar-20,06-Mar-20,"118,977.19",Services ,,,,,
7577-4689,7577-5096,696,Khan Packages ,7577,5096,4689,1177,29-Feb-20,09-Mar-20,"173,875.46",,1777,,,,
7223-4714,7223-5084,697,Khan Packages ,7223,5084,4714,1176,27-Feb-20,09-Mar-20,"229,729.50",,1776,,,,
7465-4715,7465-5085,698,Khan Packages ,7465,5085,4715,1176,27-Feb-20,09-Mar-20,"229,729.50",,1776,,,,
7270-4678,7270-5072,699,Khan Packages ,7270,5072,4678,1173,24-Feb-20,09-Mar-20,"137,709.00",,1775,,,,
7223-4679,7223-5073,700,Khan Packages ,7223,5073,4679,1774,24-Feb-20,09-Mar-20,"45,945.90",,1775,,,,
7505-4680,7505-5074,701,Khan Packages ,7505,5074,4680,1175,24-Feb-20,09-Mar-20,"43,828.32",,1775,,,,
7164-4657,7164-5046,702,Khan Packages ,7164,5046,4657,1172,18-Feb-20,09-Mar-20,"197,545.05",,1774,,,,
7505-4680,7505-5047,703,Khan Packages ,7505,5047,4680,1172,18-Feb-20,09-Mar-20,"197,545.02",,1774,,,,
7270-4669,7270-5045,704,Khan Packages ,7270,5045,4669,1171,18-Feb-20,09-Mar-20,"74,053.98",,1774,,,,
7223-4533,7223-4993,705,Khan Packages ,7223,4993,4533,1169,12-Feb-20,09-Mar-20,"232,432.20",,1173,,,,
7270-4534,7270-4994,706,Khan Packages ,7270,4994,4534,1170,12-Feb-20,09-Mar-20,"30,244.50",,1173,,,,
7270-4593,7270-4960,707,Khan Packages ,7270,4960,4593,1168,08-Feb-20,09-Mar-20,"81,724.50",,1172,,,,
7223-4592,7223-4959,708,Khan Packages ,7223,4959,4592,1167,08-Feb-20,09-Mar-20,"178,378.20",,1172,,,,
7223-4527,7223-4934,709,Khan Packages ,7223,4934,4527,1166,07-Feb-20,09-Mar-20,"43,243.20",,1171,,,,
7296-4162,7296-,710,EUROASIA MACHINERY INTERNATIONAL,7296,,4162,S-00502,02-Mar-20,09-Mar-20,"18,080.00",Services ,,,,,
7559-4696,7559-5080,711,KAJ Overseas Corporation,7559,5080,4696,21,24-Feb-20,09-Mar-20,"3,955,937.00",,939/2020,,,,
7568-1874,7568-1819,712,Naseer Autos,7568,1819,1874,1900/13476,03-Feb-20,09-Mar-20,449.00,,1900/13476,,,,
7580-1875,7580-1820,713,Honda Khair ,7580,1820,1875,19/000485,21-Jan-20,09-Mar-20,"9,054.00",,19/000485,,,,
7580-4165,7580-,714,Honda Khair ,7580,,4165,19/000485,21-Jan-20,09-Mar-20,"9,054.00",,19/000485,,,,
7648-4127,7648-2329,715,Thermoline ,7648,2329,4127,2020/1425,29-Feb-20,09-Mar-20,"111,969.00",,1086,,,,
5061-4053,5061-2283,716,Thermoline ,5061,2283,4053,2020/1364,18-Feb-20,09-Mar-20,"52,907.40",,1057,,,,
7311-,7311-1825,717,SNA Motors,7311,1825,,13067,26-Feb-20,09-Mar-20,"23,302.00",,,,,,
7311-4164,7311-,718,SNA Motors,7311,,4164,13258,07-Mar-19,09-Mar-20,565.00,Services ,,,,,
7311-4164,7311-,719,SNA Motors,7311,,4164,13281,08-Mar-20,09-Mar-20,565.00,Services ,,,,,
7311-4164,7311-,720,SNA Motors,7311,,4164,13282,08-Mar-20,09-Mar-20,565.00,Services ,,,,,
7311-4164,7311-,721,SNA Motors,7311,,4164,13321,11-Mar-20,09-Mar-20,565.00,Services ,,,,,
7311-4164,7311-,722,SNA Motors,7311,,4164,13511,18-Mar-20,09-Mar-20,565.00,Services ,,,,,
7311-4164,7311-,723,SNA Motors,7311,,4164,13257,07-Mar-19,09-Mar-20,565.00,Services ,,,,,
7311-,7311-1825,724,SNA Motors,7311,1825,,13452,15-Mar-19,09-Mar-20,"6,469.00",,,,,,
7705-1870,7705-1815,725,Cyber Engineering,7705,1815,1870,7705,06-Mar-20,09-Mar-20,"20,000.00",,N/A,,,,
7697-1881,7697-1827,726,Cyber Engineering,7697,1827,1881,7697,06-Mar-20,09-Mar-20,"27,000.00",,056,,,,
5975-1880,5975-1826,727,Cyber Engineering,5975,1826,1880,5975,06-Mar-20,09-Mar-20,"90,000.00",,055,,,,
7696-4157,7696-,728,High-Tech Engineering Services,7696,,4157,Borw,06-Mar-20,09-Mar-20,"5,500.00",Services ,,,,,
7620-4158,7620-,729,Pakistan Oxygen ,7620,,4158,371581712,27-Feb-20,09-Mar-20,"22,600.00",Services ,,,,,
7545-4160,7545-2342,730,Paper N Plus,7545,2342,4160,PNP/20-060,06-Mar-20,09-Mar-20,"175,500.00",,PNP/20-064,,,,
7572-4156,7572-2340,731,Sogo Corporation ,7572,2340,4156,SC-105322,04-Mar-20,09-Mar-20,"322,920.00",,N/A,,,,
7706-1879,7706-1824,732,Precise Engineering,7706,1824,1879,PE/BPPL/AUT-002,06-Mar-20,09-Mar-20,"16,380.00",,0248,,,,
7524-1892,7524-1838,733,Ammar Electric,7524,1838,1892,2530,09-Mar-20,09-Mar-20,"133,380.00",,2697,,,,
7650-,7650-5108,734,Sogo Corporation ,7650,5108,,SC-105321,04-Mar-20,10-Mar-20,"136,714.50",,SC-5011,,,,
5756-,5756-5109,735,Sogo Corporation ,5756,5109,,SC-105320,04-Mar-20,10-Mar-20,"83,397.60",,SC-5010,,,,
7628-,7628-5111,736,Metier Plastic,7628,5111,,19200251,04-Mar-20,10-Mar-20,"208,995.00",,19200251,,,,
7628-,7628-5112,737,Metier Plastic,7628,5112,,19200251,04-Mar-20,10-Mar-20,"208,995.00",,19200251,,,,
7628-,7628-5113,738,Metier Plastic,7628,5113,,19200251,04-Mar-20,10-Mar-20,"208,995.00",,19200251,,,,
7567-,7567-5116,739,Metier Impressions,7567,5116,,19200386,05-Mar-20,10-Mar-20,"17,059.00",,19200386,,,,
7245-,7245-5115,740,Metier Impressions,7245,5115,,19200384,05-Mar-20,10-Mar-20,"357,881.00",,19200384,,,,
7529-,7529-299,741,Metier Impressions,7529,299,,19200382,04-Mar-20,10-Mar-20,"63,180.00",,19200382,,,,
7355-,7355-2338,742,Metier Impressions,7355,2338,,19200381,04-Mar-20,10-Mar-20,"459,507.00",,19200381,,,,
7529-,7529-5105,743,Metier Impressions,7529,5105,,19200380,03-Mar-20,10-Mar-20,"61,016.00",,19200380,,,,
7529-,7529-5106,744,Metier Impressions,7529,5106,,19200380,03-Mar-20,10-Mar-20,"61,016.00",,19200380,,,,
7454-,7454-5103,745,Metier Impressions,7454,5103,,19200379,03-Mar-20,10-Mar-20,"130,572.00",,19200379,,,,
7405-,7405-297,746,Metier Impressions,7405,297,,19200378,02-Mar-20,10-Mar-20,"209,515.00",,19200378,,,,
6963-,6963-1840,747,Wadittar Engineering ,6963,1840,,2148,09-Mar-20,10-Mar-20,"60,750.00",,2166,,,,
7013-4169,7013-,748,Wadittar Engineering ,7013,,4169,2129,09-Mar-20,10-Mar-20,"25,000.00",Services ,,,,,
7659-4170,7659-,749,Wadittar Engineering ,7659,,4170,2149,09-Mar-20,10-Mar-20,"4,000.00",Services ,,,,,
7659-4170,7659-,750,Wadittar Engineering ,7659,,4170,2131,09-Mar-20,10-Mar-20,"2,000.00",Services ,,,,,
7704-1893,7704-1839,751,Wadittar Engineering ,7704,1839,1893,2150,09-Mar-20,10-Mar-20,"16,000.00",,2169,,,,
7584-1884,7584-1830,752,A. G. Associates,7584,1830,1884,4006,06-Mar-20,10-Mar-20,"40,000.00",,4006,,,,
7584-4172,7584-,753,A. G. Associates,7584,,4172,4006,06-Mar-20,10-Mar-20,"40,000.00",Services ,,,,,
7459-1883,7459-1829,754,A. G. Associates,7459,1829,1883,4004,06-Mar-20,10-Mar-20,"165,600.00",,4004,,,,
7459-4171,7459-,755,A. G. Associates,7459,,4171,4004,06-Mar-20,10-Mar-20,"165,600.00",Services ,,,,,
7018-4167,7018-,756,A. G. Associates,7018,,4167,3093,06-Mar-20,10-Mar-20,"35,000.00",Services ,,,,,
7674-4166,7674-2344,757,Industrad,7674,2344,4166,ST/03/1487,09-Mar-20,10-Mar-20,"77,805.00",,DC/02/20/INT/842,,,,
7452-4699,7452-5100,758,National Trading,7452,5100,4699,MAR-001,02-Mar-20,10-Mar-20,"575,000.00",,MAR-001,,,,
7478-4690,7478-5063,759,A.M. Yousuf & Co ,7478,5063,4690,AMY/2744,24-Feb-20,10-Mar-20,"153,563.00",,3954,,,,
7583-1866,7583-1811,760,Pioneer Systems,7583,1811,1866,6240,05-Mar-20,10-Mar-20,"50,591.00",,DN4224,,,,
5759-434,5759-298,761,Iftekhar International ,5759,298,434,M/529,03-Mar-20,10-Mar-20,"42,120.00",,M/529,,,,
7586-1890,7586-1836,762,Paradise Airconditioning ,7586,1836,1890,052,11-Mar-20,11-Mar-20,"9,000.00",,203,,,,
7587-1891,7587-1837,763,Paradise Airconditioning ,7587,1837,1891,051,11-Mar-20,11-Mar-20,"24,000.00",,202,,,,
7701-,7701-5134,764,Aman Enterprise,7701,5134,,547,09-Mar-20,11-Mar-20,"145,250.00",,631,,,,
7055-4015,7055-2256,765,Haseen Habib,7055,2256,4015,HQ-Inv 109531,09-Mar-20,11-Mar-20,"68,796.00",,HC104978,,,,
7431-4175,7431-,766,Allied Rental,7431,,4175,SINV-013989,25-Feb-20,11-Mar-20,"420,000.00",Services ,,,,,
7046-1896,7046-1842,767,Industrad,7046,1842,1896,ST/03/1496,10-Mar-20,11-Mar-20,"117,033.00",,DC/02/20/INT/845,,,,
7601-4184,7601-2354,768,Maxim Pakistan ,7601,2354,4184,MXP829/03,11-Mar-20,12-Mar-20,"348,075.00",,03-11032020,,,,
7024-1899,7024-1845,769,Imran Brothers,7024,1845,1899,208,11-Mar-20,12-Mar-20,"19,800.00",,469,,,,
7733-1898,7733-1844,770,Syscom Control Air,7733,1844,1898,072,11-Mar-20,12-Mar-20,"56,745.00",,SIDC-190075,,,,
6852-4181,6852-,771,Supernet,6852,,4181,2020/02/1154-008,13-Feb-20,12-Mar-20,"111,583.12",Services ,,,,,
7713-1887,7713-1833,772,Defence Battery,7713,1833,1887,009066,17-Feb-20,12-Mar-20,"5,500.00",,009066,,,,
7712-1889,7712-1835,773,Honda Khair ,7712,1835,1889,19/00047,01-Jan-20,12-Mar-20,88.00,,19/00047,,,,
7715-1886,7715-1832,774,New Zafcom Tyres Company,7715,1832,1886,561,20-Feb-20,12-Mar-20,"1,755.00",,8430,,,,
7711-1888,7711-1834,775,Naseer Autos,7711,1834,1888,1900/14102,03-Feb-20,12-Mar-20,618.00,,1900/14102,,,,
7714-4163,7714-,776,Eco Services,7714,,4163,1416,17-Feb-20,12-Mar-20,"47,795.00",Services ,,,,,
7462-,7462-5066,777,M.A Printer,7462,5066,,105,24-Feb-20,12-Mar-20,"60,500.00",,301,,,,
7462-4710,7462-5067,778,M.A Printer,7462,5067,4710,105,24-Feb-20,12-Mar-20,"60,500.00",,301,,,,
7462-4711,7462-5068,779,M.A Printer,7462,5068,4711,105,24-Feb-20,12-Mar-20,"60,500.00",,301,,,,
7462-4712,7462-5069,780,M.A Printer,7462,5069,4712,105,24-Feb-20,12-Mar-20,"60,500.00",,301,,,,
7120-1783,7120-1728,781,Osaka Lighting,7120,1728,1783,1002554,02-Mar-20,13-Mar-20,"8,700.00",,1002304,,,,
7341-4719,7341-5118,782,Ghani Glass,7341,5118,4719,PH22003000413,05-Mar-20,13-Mar-20,"468,146.25",,10610414,,,,
7637-1906,7637-1852,783,Honda Khair ,7637,1852,1906,20/00078,12-Feb-20,13-Mar-20,"5,363.00",,20/00078,,,,
7636-1907,7636-1853,784,New Zafcom Tyres Company,7636,1853,1907,539,12-Feb-20,13-Mar-20,"7,020.00",,8409,,,,
7649-1885,7649-1831,785,Hyder Ali & CO. ,7649,1831,1885,1065870,10-Mar-20,13-Mar-20,"9,477.00",,1066691,,,,
7675-,7675-5123,786,Mak-Kemikal ,7675,5123,,BMK-2004,09-Mar-20,13-Mar-20,"300,690.00",,BMK-2004,,,,
7445-4130,7445-2332,787,Atique Traders,7445,2332,4130,INV-48376,02-Mar-20,13-Mar-20,"114,000.12",,68324,,,,
7641-,7641-2358,788,Pacode System,7641,2358,,20200525,11-Mar-20,13-Mar-20,"187,200.00",,20200525,,,,
7466-,7466-5120,789,M.A Printer,7466,5120,,106,06-Mar-20,13-Mar-20,"19,125.00",,303,,,,
7249-4726,7249-5104,790,Metier Ampoule ,7249,5104,4726,19200096,02-Mar-20,17-Mar-20,"786,022.00",,19200096,,,,
7556-,7556-5124,791,Metier Ampoule ,7556,5124,,19200097,09-Mar-20,17-Mar-20,"320,323.00",,19200097,,,,
