,Sr,Item Code,Item Name,Supplier / Department,PO No.,DC Number,MRR No.,Shipment No.,Lot No.,Potency,Requested Date,Receiving Date,Quantity ,UOM,Sample Date,Release Status,Rel / Rej / Hold Date,Manufacturer
3360,2123,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17140,,5768,,,-,2023-08-02 00:00:00,2023-08-10 00:00:00,90,Litre,,,,
3361,2124,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17232,,5789,,,-,2023-08-24 00:00:00,2023-08-23 00:00:00,85,Litre,,,,
3362,2125,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17232,,5789,,,-,2023-08-24 00:00:00,2023-08-23 00:00:00,85,Litre,,,,
3363,2126,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-21 00:00:00,2023-07-26 00:00:00,80,Litre,,,,
3364,2127,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-21 00:00:00,2023-07-26 00:00:00,90,Litre,,,,
3365,2128,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-21 00:00:00,2023-07-26 00:00:00,90,Litre,,,,
3366,2129,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-24 00:00:00,2023-07-26 00:00:00,21,Litre,,,,
3367,2130,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17139,,5767,,,-,2023-08-08 00:00:00,2023-08-10 00:00:00,60,Litre,,,,
3368,2131,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17139,,5767,,,-,2023-08-08 00:00:00,2023-08-10 00:00:00,80,Litre,,,,
3369,2132,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-21 00:00:00,2023-07-26 00:00:00,90,Litre,,,,
3370,2133,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17139,,5767,,,-,2023-08-08 00:00:00,2023-08-10 00:00:00,90,Litre,,,,
3371,2134,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,80,Litre,,,,
3372,2135,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,80,Litre,,,,
3373,2136,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17140,,5768,,,-,2023-08-03 00:00:00,2023-08-10 00:00:00,26,Litre,,,,
3374,2137,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17140,,5768,,,-,2023-08-02 00:00:00,2023-08-10 00:00:00,80,Litre,,,,
3375,2138,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17060,,5740,,,-,2023-07-24 00:00:00,2023-07-26 00:00:00,90,Litre,,,,
3376,2139,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,5,Litre,,,,
3377,2140,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,80,Litre,,,,
3378,2141,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,80,Litre,,,,
3379,2142,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,17032,,5739,,,-,2023-07-19 00:00:00,2023-07-26 00:00:00,8,Litre,,,,
3380,2143,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,80,Litre,,,,
3381,2144,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,80,Litre,,,,
3382,2145,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,5,Litre,,,,
3383,2146,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,25,Litre,,,,
3384,2147,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,80,Litre,,,,
3385,2148,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,8,Litre,,,,
3386,2149,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,80,Litre,,,,
3387,2150,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,8,Litre,,,,
3388,2151,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,10,Litre,,,,
3389,2152,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3390,2153,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3391,2154,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,8,Litre,,,,
3392,2155,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3393,2156,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3394,2157,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,12,Litre,,,,
3395,2158,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3396,2159,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,8,Litre,,,,
3397,2160,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,10,Litre,,,,
3398,2161,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-13 00:00:00,2023-07-17 00:00:00,80,Litre,,,,
3399,2162,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,6,Litre,,,,
3400,2163,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16992,,5722,,,-,2023-07-12 00:00:00,2023-07-17 00:00:00,20,Litre,,,,
3401,2164,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,80,Litre,,,,
3402,2165,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,15,Litre,,,,
3403,2166,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,5,Litre,,,,
3404,2167,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,15,Litre,,,,
3405,2168,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,80,Litre,,,,
3406,2169,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,80,Litre,,,,
3407,2170,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,80,Litre,,,,
3408,2171,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16934,,5720,,,-,2023-06-21 00:00:00,2023-07-14 00:00:00,5,Litre,,,,
3409,2172,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16995,,5725,,,-,2023-07-11 00:00:00,2023-07-18 00:00:00,80,Litre,,,,
3410,2173,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16945,,5694,,,-,2023-06-27 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3411,2174,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16945,,5694,,,-,2023-06-27 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3412,2175,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16945,,5694,,,-,2023-06-27 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3413,2176,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16945,,5694,,,-,2023-06-27 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3414,2177,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16945,,5694,,,-,2023-06-27 00:00:00,2023-07-06 00:00:00,8,Litre,,,,
3415,2178,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,30,Litre,,,,
3416,2179,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,5,Litre,,,,
3417,2180,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,80,Litre,,,,
3418,2181,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,50,Litre,,,,
3419,2182,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-01 00:00:00,2023-07-10 00:00:00,85,Litre,,,,
3420,2183,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,80,Litre,,,,
3421,2184,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-05 00:00:00,2023-07-10 00:00:00,15,Litre,,,,
3422,2185,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3423,2186,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3424,2187,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,5,Litre,,,,
3425,2188,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3426,2189,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,20,Litre,,,,
3427,2190,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,5,Litre,,,,
3428,2191,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,5,Litre,,,,
3429,2192,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16856,,5693,,,-,2023-06-07 00:00:00,2023-07-06 00:00:00,80,Litre,,,,
3430,2193,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-01 00:00:00,2023-07-10 00:00:00,80,Litre,,,,
3431,2194,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16857,,5698,,,-,2023-06-01 00:00:00,2023-07-10 00:00:00,5,Litre,,,,
3432,2195,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,85,Litre,,,,
3433,2196,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3434,2197,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,5,Litre,,,,
3435,2198,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,65,Litre,,,,
3436,2199,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3437,2200,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,70,Litre,,,,
3438,2201,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3439,2202,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,65,Litre,,,,
3440,2203,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3441,2204,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3442,2205,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3443,2206,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16828,,5631,,,-,2023-05-26 00:00:00,2023-06-05 00:00:00,15,Litre,,,,
3444,2207,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,10,Litre,,,,
3445,2208,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,12,Litre,,,,
3446,2209,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,10,Litre,,,,
3447,2210,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,85,Litre,,,,
3448,2211,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16827,,5630,,,-,2023-06-01 00:00:00,2023-06-05 00:00:00,40,Litre,,,,
3449,2212,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3450,2213,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3451,2214,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3452,2215,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,10,Litre,,,,
3453,2216,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3454,2217,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3455,2218,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3456,2219,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,10,Litre,,,,
3457,2220,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3458,2221,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3459,2222,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3460,2223,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16696,,5622,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3461,2224,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16697,,5625,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3462,2225,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16697,,5625,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3463,2226,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16697,,5625,,,-,2023-05-12 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3464,2227,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,65,Litre,,,,
3465,2228,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,10,Litre,,,,
3466,2229,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3467,2230,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,20,Litre,,,,
3468,2231,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,65,Litre,,,,
3469,2232,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3470,2233,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,10,Litre,,,,
3471,2234,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3472,2235,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3473,2236,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,65,Litre,,,,
3474,2237,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,65,Litre,,,,
3475,2238,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,20,Litre,,,,
3476,2239,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3477,2240,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3478,2241,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,65,Litre,,,,
3479,2242,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3480,2243,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3481,2244,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3482,2245,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,10,Litre,,,,
3483,2246,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,40,Litre,,,,
3484,2247,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,10,Litre,,,,
3485,2248,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3486,2249,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,65,Litre,,,,
3487,2250,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3488,2251,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3489,2252,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3490,2253,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3491,2254,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3492,2255,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,10,Litre,,,,
3493,2256,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3494,2257,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3495,2258,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,15,Litre,,,,
3496,2259,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,20,Litre,,,,
3497,2260,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16695,,5619,,,-,2023-05-15 00:00:00,2023-06-01 00:00:00,60,Litre,,,,
3498,2261,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3499,2262,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3500,2263,6351-00001-0000,MILK FRESH,MUHAMMAD AFZAL -CASH PURCHASES,16755,,5628,,,-,2023-05-19 00:00:00,2023-06-02 00:00:00,15,Litre,,,,
3501,2264,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15853,,5588,,,-,2022-12-29 00:00:00,2023-05-17 00:00:00,15,Litre,,,,
3502,2265,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15853,,5588,,,-,2022-12-29 00:00:00,2023-05-17 00:00:00,15,Litre,,,,
3503,2266,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15853,,5588,,,-,2022-12-29 00:00:00,2023-05-17 00:00:00,15,Litre,,,,
3504,2267,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15339,,5575,,,-,2022-10-12 00:00:00,2023-05-12 00:00:00,15,Litre,,,,
3505,2268,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15339,,5575,,,-,2022-10-12 00:00:00,2023-05-12 00:00:00,15,Litre,,,,
3506,2269,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15339,,5575,,,-,2022-10-12 00:00:00,2023-05-12 00:00:00,15,Litre,,,,
3507,2270,6351-00001-0000,MILK FRESH,Muhammad Afzal-1,15339,,5575,,,-,2022-10-12 00:00:00,2023-05-12 00:00:00,15,Litre,,,,
