Req. Status,Fusion PR. No,PO. No,PR. Line No,Department,PR No,PR Date,Item Code,Item Name,UOM,Qty,Delivery Date,Buyer,Description
APPROVED,27982,,1,Non Sterile - Semi Solid & Liquid (Common),6464,5/6/2023,6254-00254-0000,"CARTRIDGE FILTER SARTOPURE IND 20 MICRON SIZE: 10""",NOS,20,23/05/23,,CARTRIDGE FILTER SARTOPURE IND 20 MICRON SIZE: 10''
APPROVED,11523,,3,Quality Control (Common),3146,21/08/19,6406-00225-0000,USP REFERENCE STANDARD MUPIROCIN RS CATALOG NO. 1448901,NOS,1,28/08/19,,USP REFERENCE STANDARD MUPIROCIN RS CATALOG NO. 1448901 
APPROVED,11528,,1,Sterile (Common),3442,7/10/2019,5405-00187-0000,"PIPE EXHAUST ALUMINIUM OD: 2-1/4'', ID: 1-7/8''",RFT,20,28/08/19,,Required for Ampoule filling machine (GFSA) 
APPROVED,11658,,1,Sterile (Common),3557,14/10/19,5234-01146-0000,"BOX S.S 316-L, LENGTH: 315mm HEIGHT: 115mm WIDTH: 155mm THICKNESS: 1.2mm",NOS,200,5/9/2019,,Required for FFSA
APPROVED,11600,,11,Engineering (Common),3705,26/10/19,5234-01171-0000,INSERT CERAMIC TRIANGULAR TYPE,NOS,12,13/09/19,,REQUIRED FOR ENGINEERING WORKSHOP
APPROVED,11739,,1,Coating,3227,4/9/2019,4206-00091-0000,MIXING IMPELLER S.S 316 L ALONG WITH SHAFT AND MOTOR ( FOR PRESSURE VESSEL ),NOS,1,10/9/2019,,REQUIRED FOR PSYCHOTROPIC COATING AREA
APPROVED,11740,,1,Coating,3239,6/9/2019,4206-00092-0000,STIRRER S.S 316 L MOTORIZED WITH MOTORIZED MOVABLE STAND ALONG WITH VFD AND ELECTRICAL CONTROL PANEL,NOS,1,10/9/2019,,REQUIRED FOR PSYCHOTROPIC COATING AREA
APPROVED,28727,,567,Canteen,6674,7/9/2023,6351-01091-0000,POWDER RED CHILLI,PKS,5,19/07/23,,CASH PURCHASED FOR CANTEEN FROM 11-08-2023 TILL 18-08-2023.
APPROVED,11600,,8,Engineering (Common),3705,26/10/19,5234-01158-0000,"HALF ROUND FILE SIZE: 12""",NOS,1,13/09/19,,REQUIRED FOR ENGINEERING WORKSHOP
APPROVED,29276,,8,Water Treatment Plant,6858,28/11/23,5232-00163-0000,"VALVE NON RETURN S.S. SIZE: 2"" (FOR STEAM LINE)",NOS,1,8/11/2023,,REQUIRED FOR DRAIN LINE OF WATER TREATMENT PLANT
APPROVED,11941,,1,Utilities,3402,2/10/2019,5232-00163-0000,"VALVE NON RETURN S.S. SIZE: 2"" (FOR STEAM LINE)",NOS,2,9/10/2019,,REQUIRED FOR BOILER
APPROVED,,,1,Quality Control (Common),7205,23/01/24,6406-00238-0000,USP REFERENCE STANDARD TACROLIMUS CATALOG NO.1642802,NOS,1,23/02/24,Mumtaz,USP Reference Standard
APPROVED,12363,,1,Domestic Business Unit - APEX,3655,22/10/19,6451-00504-0000,TABLE LAMP KM-S058N TOUCH OPERATIVE - PHLOGIN CAPSULE 50mg,NOS,300,29/10/19,,TABLE LAMP KM-S058N TOUCH OPERATIVE PHLOGIN CAPSULE 50mg 
APPROVED,12594,,10,Procurement,3898,8/11/2019,1001-00125-0000,MORPHINE SULPHATE,KGs,6.6,13/11/19,,ALPRAZOLAM
APPROVED,29131,,29,Canteen,6884,28/11/23,6351-01097-0000,FENNEL (SONF),PKS,10,24/10/23,,CASH PURCHASED FOR CANTEEN FROM 01-10-2023 TILL 05-10-2023.
APPROVED,,,1,Sterile (Common),7224,24/01/24,5405-00199-0000,PIPE FLEXIBLE FOR VACUUM CLEANER,RFT,1,31/01/24,Abuzar Hasani,vaccuum cleaner pipe required for ampoule washing machine
APPROVED,,,3,,4103,2/12/2019,5234-01246-0000,TUBE S.S 316L OD: 2.5mm,RFT,60,28/11/19,,
APPROVED,28030,,1,Packaging (Common),6461,5/6/2023,6254-00262-0000,INK CARTRIDGE MSSC BLACK No. 90900 - FOR POROUS SUBSTRATE,NOS,2,29/05/23,,INK CARTRIDGE MSSC BLACK No. 90900 - FOR POROUS SUBSTRATE 
APPROVED,13530,,5,Domestic Business Unit - APEX,4216,16/12/19,6451-00521-0000,CLOCK WOODEN ONE COLOR ENGRAVING - LAMADOL PLUS,NOS,"1,275.00",20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13530,,30,Domestic Business Unit - APEX,4216,16/12/19,6451-00527-0000,PEN BLACK MULTI (4 IN ONE) WITH FANCY BOX - XIFAXA,NOS,"1,000.00",20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13530,,29,Domestic Business Unit - APEX,4216,16/12/19,6451-00527-0000,PEN BLACK MULTI (4 IN ONE) WITH FANCY BOX - XIFAXA,NOS,"1,000.00",20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13530,,4,Domestic Business Unit - APEX,4216,16/12/19,6451-00528-0000,BALL PEN PACKED IN FOUR COLOR PRINTED BOX - NEZOCIN,NOS,"2,000.00",20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13530,,18,Domestic Business Unit - APEX,4216,16/12/19,6451-00536-0000,KEY CHAIN HOLDER FIBER WITH FLOWERS - OXOFERIN,NOS,500,20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13530,,21,Domestic Business Unit - APEX,4216,16/12/19,6451-00537-0000,MUG WITH BAMBOO LID AND SPOON - OXOFERIN,NOS,500,20/12/19,,GIVE AWAYS AS PER APPROVED BUSINESS PLAN FY 2019-20
APPROVED,13512,,15,Sterile (Common),4236,17/12/19,5122-00919-0000,RELAY ELECTRONIC OVER CURRENT RANGE: 5-70A,NOS,6,23/12/19,,REQUIRED FOR INSTALLATION OF AIR COOLED CHILLER (CARRIER) PLOT 58
APPROVED,13528,,1,Admin Common,4281,23/12/19,5122-00930-0000,WIRE CONNECTOR HAND SET,NOS,100,30/12/19,,REQUIRED ITEMS FOR TELECOMMUNICATION SYSTEM. 
APPROVED,13663,,7,Sterile (Common),4318,27/12/19,5223-00106-0000,SHAFT S.S POLISH DIA: 15mm,KGs,2.5,2/1/2020,,REQUIRED FOR FABRICATION OF SS TROLLEY AND CAGE FOR STERILIZATION OF PRESSURE VESSEL IN AUTOCLAVE (GFSA)
APPROVED,13663,,2,Sterile (Common),4318,27/12/19,5405-00208-0000,PIPE S.S. POLISH DIA: 32mm 18swg,RFT,20,2/1/2020,,REQUIRED FOR FABRICATION OF SS TROLLEY AND CAGE FOR STERILIZATION OF PRESSURE VESSEL IN AUTOCLAVE (GFSA)
APPROVED,13663,,5,Sterile (Common),4318,27/12/19,5405-00209-0000,"PIPE S.S. POLISH SIZE: 3/4"" x 3/4"" 18swg",RFT,20,2/1/2020,,REQUIRED FOR FABRICATION OF SS TROLLEY AND CAGE FOR STERILIZATION OF PRESSURE VESSEL IN AUTOCLAVE (GFSA)
APPROVED,13912,,1,Corporate Image,4491,16/01/20,5205-00049-0000,"BOLT & NUT M.S SIZE: 3"" x 2''",NOS,2,20/01/20,,REQUIRED FOR BROOKES ROUNDABOUT (REQ # 13723) WAS RETURNED DUE TO WRONG ITEM CODES.
APPROVED,27843,,36,Admin Common,6456,5/6/2023,6203-00290-0000,COIL SPRING FOR VEHICLE,NOS,1,1/6/2023,,ARRANGED REPAIR & MAINTENANCE OF BROOKES FLEET
APPROVED,28677,,97,Admin Common,6678,7/9/2023,6203-00292-0000,PRESSURE PLATE FOR VEHICLE,NOS,1,25/08/23,,ARRANGED REPAIR & MAINTENANCE OF BROOKES VEHICLES
APPROVED,27843,,69,Admin Common,6456,5/6/2023,6203-00292-0000,PRESSURE PLATE FOR VEHICLE,NOS,1,26/05/23,,ARRANGED REPAIR & MAINTENANCE OF BROOKES FLEET
APPROVED,29517,,1,Procurement,6940,28/11/23,7001-00183-0000,CYLINDER ALUMINIUM FOIL,NOS,1,23/11/23,,CYLINDER ALUMINIUM FOIL 
APPROVED,28225,,7,Quality Control (Common),6540,3/7/2023,6407-00034-0000,SYRINGE FILTER PVDF 25MM DIA 0.45 PORE SIZE CAT NO. SFPVDF025045N,NOS,20,21/06/23,,New Requisition raised of all pending items of 2022as per request of SCD
APPROVED,26702,,4,Domestic Business Unit ??? Apex - Alpine,6175,9/1/2023,6452-00527-0000,"DROP CARD DOSTIN SIZE 8.5"" x 11"" 260gsm ART CARD, 4 COLOR PRINTING - DOSTIN/DC/01/2020",NOS,"15,000.00",28/12/22,,DROP CARD NEZOCIN 8.5'' x 11'' 260gsm ART CARD 4 COLOR PRINTING - NEZOCIN/DC/01/2020 
APPROVED,27849,,24,Sterile (Common),6454,5/6/2023,5216-00012-0000,NOZZLE S.S. SIZE: 0.4 / 0.5mm,NOS,24,12/4/2023,,URGENTLY REQUIRED FOR BQS BLISTER MACHINE.
APPROVED,27885,,1,Sterile (Common),6449,5/6/2023,6256-00040-0000,FILTER ASSEMBLY 02 MICRON VENT FILTER BRAND: PALL KLEEN PAK,NOS,6,5/5/2023,,Vnet filter required for Jiangsu Autoclaves 
APPROVED,29542,,5,Quality Control (Common),6918,28/11/23,6407-00038-0000,"CV, OUT-SPB-1.5 PART NO: 228-45705-91",NOS,4,27/11/23,,Spare parts of HPLC and TOC
APPROVED,,,1,Engineering (Common),7151,15/01/24,5122-01051-0000,SELECTOR MOTOR SWITCH ON / OFF,NOS,6,22/01/24,Atif Salam,"REQUIRED REPLACEMENT/SPARE PART FOR ACL FILLING MACHINE, BQS I & II MACHINES. PACKAGING AND STERILE PRODUCTION"
APPROVED,28715,,37,Sterile (Common),6675,7/9/2023,5407-00110-0000,"SOCKET SIZE: 4"" CPVC",NOS,2,1/9/2023,,URGENTLY REQUIRED REPLACEMENT OF PART AT LABELING MACHINE CEPH STERILE PRODUCTION.  
APPROVED,18582,,1,,5089,11/1/2021,5234-01450-0000,PAD ANTI VIBRATION FOR WORTHINGTON AIR COMPRESSOR,NOS,2,8/1/2021,,
APPROVED,19107,,71,,5155,27/02/21,5109-00029-0000,"WINDING WIRE (COPPER) SIZE NO. 20.5, MAKE: GHAZI",KGs,10,27/02/21,,
APPROVED,27843,,51,Admin Common,6456,5/6/2023,6203-00321-0000,HEAD LIGHT BULB FOR VEHICLE,NOS,1,17/04/23,,ARRANGED REPAIR & MAINTENANCE OF BROOKES FLEET
APPROVED,,,3,Quality Control (Common),7307,2/2/2024,6406-00303-0000,EP REFERENCE STANDARD PARACETAMOL IMPURITY J CRS EUROPEAN PHARMACOPIA ORDER CODE # Y0001945,NOS,1,29/02/24,Rashid Ayub,EP Reference standards
APPROVED,26702,,6,Domestic Business Unit ??? Apex - Skyward,6175,9/1/2023,6452-00552-0000,"DROP CARD LAMADOL SIZE: 8.5"" x 11"" 260gsm ART CARD 4 COLOR PRINTING - LAMADOL-DC/01/2021",NOS,"12,000.00",21/12/22,,DROP CARD NEZOCIN 8.5'' x 11'' 260gsm ART CARD 4 COLOR PRINTING - NEZOCIN/DC/01/2020 
APPROVED,26702,,3,Domestic Business Unit ??? Apex - Alpine,6175,9/1/2023,6452-00550-0000,"DROP CARD CLINAIR SIZE: 8.5"" x 11"" 260gsm ART CARD 4 COLOR PRINTING - CLINAIR-DC/01/2021",NOS,"15,000.00",28/12/22,,DROP CARD NEZOCIN 8.5'' x 11'' 260gsm ART CARD 4 COLOR PRINTING - NEZOCIN/DC/01/2020 
APPROVED,26702,,9,Domestic Business Unit ??? Apex - Alpine,6175,9/1/2023,6452-00553-0000,"FOLDER CLINAIR SIZE: 8.5"" x 11"" 260gsm ART CARD, 4 x 4 COLOR PRINTING - CLINAIR-F/01/2021",NOS,"15,000.00",28/12/22,,DROP CARD NEZOCIN 8.5'' x 11'' 260gsm ART CARD 4 COLOR PRINTING - NEZOCIN/DC/01/2020 
APPROVED,26398,,6,,6020,2/11/2022,6254-00313-0000,"BOX THERMOPORE SIZE: 13"" x 7.5"" x 9.5""",NOS,600,2/11/2022,,
APPROVED,28677,,94,Admin Common,6678,7/9/2023,6203-00335-0000,PIPE HOSE FOR VEHICLE,NOS,1,2/8/2023,,ARRANGED REPAIR & MAINTENANCE OF BROOKES VEHICLES
APPROVED,26783,,1,Utilities,6098,9/1/2023,6254-00318-0000,BOILER CHEMICAL INFINITY SATROX,KGs,"4,320.00",27/12/22,,REQUIRED CHEMICAL FOR BOILER FOR THE PERIOD JANUARY 2023 TO DECEMBER 2023.
APPROVED,,,2,,7057,29/12/23,1105-00099-1002,ALUMINIUM TUBE ECZEMUS 0.03% OINTMENT 10gm C/P - (ND) - R1 - Local Pack C/P,NOS,"25,000.00",12/2/2024,Rashid Ayub,
APPROVED,,,4,Engineering (Common),7230,24/01/24,5122-01288-0000,PROGRAMMABLE CONTROLLER MODEL: FX1N-24MT BRAND: MITSUBISHI,NOS,1,31/01/24,Atif Salam,REQUIRED REPLACEMENT OF PART AT GEL FILLING MACHINE & AMPOULE BLISTER MACHINE
APPROVED,,,2,,7079,3/1/2024,3005-00043-0000,INSTALLATION CHARGES - MECHANICAL JOBS,RFT,1,,Atif Salam,Creating new Buffer Area in finished goods offsite warehouse
APPROVED,28655,,2,Admin Common,6679,7/9/2023,4209-00168-0000,POWER SUPPLY 12V 2A - (NAL),NOS,1,31/07/23,,"ARRANGED WATER TANKER (16,000 GALLONS) FOR BROOKES PHARMA PLOT 58-59 IN THE MONTH OF JULY 2023"
APPROVED,28128,,1,Procurement,6458,5/6/2023,6406-00340-0000,USP REFERENCE STANDARD BUPIVACAINE HYDROCHLORIDE CATALOG NO:  1078507,NOS,2,8/6/2023,,USP REFERENCE STANDARD BUPIVACAINE HYDROCHLORIDE CATALOG NO:  1078507 
APPROVED,,,4,,7131,12/1/2024,6406-00344-0000,USP REFERENCE STANDARD SEVOFLURANE RELATED COMPOUND C CATALOG NO: 1612594,NOS,1,31/01/24,Mumtaz,"USP Reference Standards required for the testing of Sevofluran, Isoflurane and Desflurane"
APPROVED,,,3,Engineering (Common),7235,25/01/24,5109-00032-0000,"WINDING WIRE (COPPER) SIZE: NO. 21.5 , MAKE: GHAZI",KGs,5,1/2/2024,Abuzar Hasani,REQUIRED FOR CHILLER PUMP MOTOR. PLOT-58
APPROVED,29167,,3,Admin Common,6890,28/11/23,6203-00343-0000,SPRING FRONT FOR VEHICLE,NOS,2,24/10/23,,ARRANGED REPAIR & MAINTENANCE OF BROOKES VEHICLES
APPROVED,27849,,2,Electrical,6454,5/6/2023,5122-01387-0000,"AMMETER DIGITAL 5A, CT, SIZE: 96mm x 96mm PROGRAMMABLE",NOS,4,24/05/23,,URGENTLY REQUIRED FOR BQS BLISTER MACHINE.
APPROVED,26541,,3,Sterile (Common),6173,9/1/2023,5122-01425-0000,"VARIABLE FREQUENCY DRIVE 1.5 KW, 2 HP, SINGLE PHASE MODEL: LSLV0015M100",NOS,1,1/12/2022,,REQUIRED REPLACEMENT/SPARE PART FOR PVCL/ACL/BQS AND CHINA COATA MACHINES.
APPROVED,27945,,9,Procurement,6460,5/6/2023,1006-00067-0000,COATDRY 7500 AS WHITE.,KGs,300,16/05/23,,OPADRY 7500 AS ORANGE 
APPROVED,28697,,16,Sterile (Common),6676,7/9/2023,4209-00270-0000,STORAGE TANK MODEL: 1000L WITHOUT JACKET - (NAL),NOS,1,26/07/23,,REQUIRED FOR NEW CARRIER CHILLER FOR STERILE.
APPROVED,28697,,11,Sterile (Common),6676,7/9/2023,4209-00272-0000,MECHANICAL DETECTION SYSTEM FOR BLISTER MACHINE MODEL: DPP 260 K3 - (NAL),NOS,1,26/07/23,,REQUIRED FOR NEW CARRIER CHILLER FOR STERILE.
APPROVED,28682,,42,Sterile (Common),6665,7/9/2023,5103-00102-0000,"PVC BOARD SIZE: 3"" x 3"" (OPEN TYPE)",NOS,6,4/7/2023,,URGENTLY REQUIRED REPLACEMENT OF PART AT GEL MACHINE. PACKAGING DEPARTMENT
APPROVED,29153,,2,Sterile (Common),6888,28/11/23,5304-00460-0000,"COPPER PIPE SIZE: 2-1/8""",RFT,3,19/10/23,,REQUIRED FOR NEW ACL CHILLER FIRST FLOOR STERILE AREA
APPROVED,29363,,1,Packaging (Common),6924,28/11/23,6254-00336-0000,UNICORN SOLVENT,BTL,10,14/11/23,,UNICORN SOLVENT 
APPROVED,29151,,3,Sterile (Common),6987,28/11/23,5208-00090-0000,NUT BOLT S.S SIZE: 16 x 65mm,NOS,64,19/10/23,Atif Salam,REQUIRED FOR ACL CHILLER FIRST FLOOR STERILE AREA.
APPROVED,29343,,1,Admin Common,6866,28/11/23,5413-00155-0000,SHOWER MIXTURE,SET,1,10/11/2023,,URGENTLY REQUIRED FOR DIRECTOR'S WASHROOM IN HEAD OFFICE.
APPROVED,29542,,10,Quality Control (Common),6918,28/11/23,6407-00088-0000,PCB ASSY Z-MOUNT FOR HPLC-2030,NOS,3,27/11/23,,Spare parts of HPLC and TOC
APPROVED,29497,,3,Sterile (Common),6842,28/11/23,5122-01485-0000,EXT CARD 24 EXTENSIONS,NOS,4,23/11/23,,REQUIRED FOR NAL PROJECT
APPROVED,29385,,1,Packaging (Common),6891,28/11/23,5234-01728-0000,"PUSHER MATERIAL: NYLON LENGTH: 50mm, WIDTH: 26mm, THICK: 12mm",NOS,12,15/11/23,,REQUIRED FOR AUTO CARTONING MACHINECP-120
APPROVED,29491,,1,Sterile (Common),6848,28/11/23,5234-01730-0000,"AMPOULE TRACK LENGTH: 52mm, WIDTH: 14mm, THICK: 12mm WITH BEARING AND STUD",NOS,25,23/11/23,,REQUIRED FOR AMPOULE WASHING MACHINE STERILE
APPROVED,,,8,International Business - Head Office,7081,3/1/2024,6451-00683-0000,BLOCK PAD WITH 500 SLIPS - EPRAZOLE / ACLENE / ARNIL - EXPORT,NOS,"4,000.00",10/1/2024,Atif Salam,PM
APPROVED,29542,,1,Quality Control (Common),6918,28/11/23,6407-00092-0000,ASSY LINE FILTER FOR HPLC-2030,NOS,4,28/11/23,,Spare parts of HPLC and TOC
APPROVED,,,1,Mechanical,7306,2/2/2024,5412-00041-0000,"STAR COUPLING SIZE: OUTER DIA: 65mm, HUB DIA: 38mm THICKNESS: 13mm, 8 LINKS PLASTIC MOULDED",NOS,2,,Abuzar Hasani,REQUIRED FOR H.D 80 CARTONING MACHINE
APPROVED,,,3,Engineering (Common),7230,24/01/24,5122-01513-0000,EXPANSION MODULE MODEL: EM 222 CN DC 222-1BF22-0XA8 BRAND: SIEMENS,NOS,1,31/01/24,Atif Salam,REQUIRED REPLACEMENT OF PART AT GEL FILLING MACHINE & AMPOULE BLISTER MACHINE
APPROVED,,,2,Utilities,7309,2/2/2024,5122-01518-0000,"SOLENOID VALVE INLET SIZE: 1/4"", OUTLET SIZE"" 1/4"", THICKNESS"" 40mm (FOR DIESEL)",NOS,1,6/2/2024,Atif Salam,REQUIRED FOR BOILER
APPROVED,11733,,1,Procurement,3226,4/9/2019,1001-00003-0000,ALFACALCIDOL,GMS,1,10/9/2019,,HYDROCORTISONE ACETATE 
APPROVED,4012,,1,Product Development (Common),921,30/08/18,1001-00099-0000,ESOMEPRAZOLE MAGENSIUM TRIHYDRATE,KGs,1.5,6/9/2018,,OMEPRAZOLE POWDER
APPROVED,29293,,1,,6770,1/11/2023,1001-00053-0000,L-ORNITHINE L-ASPARTATE,KGs,"4,000.00",5/12/2023,Mumtaz,As per email dated 01-11-2023
APPROVED,12583,,3,Procurement,3846,6/11/2019,1001-00005-0000,ALPRAZOLAM,KGs,30,12/11/2019,,ALPRAZOLAM
APPROVED,,,1,,7274,30/01/24,1001-00015-0000,CIPROFLOXACIN HCL,KGs,"1,000.00",15/04/24,Mumtaz,
APPROVED,12421,,3,Procurement,3714,28/10/19,1001-00025-0000,DIPHENHYDRAMINE HCL,KGs,100,1/11/2019,,DIPHENHYDRAMINE HCL
APPROVED,348,,1,,193,24/05/18,5102-00010-0000,BATTERY 12V,NOS,1,11/5/2018,,Arranged Battery for Banglow Pool Vehicle 
APPROVED,5832,,1,Product Development (Common),1457,29/10/18,1003-00111-0000,SODIUM CARBONATE,KGs,1,5/11/2018,,SODIUM CARBONATE
APPROVED,3746,,1,Product Development (Common),1037,12/9/2018,1003-00077-0000,METHYL HYDROXY PROPYL CELULOSE METHOCEL K4M,KGs,2,20/08/18,,METHYL HYDROXY PROPYL CELULOSE METHOCEL K4M
APPROVED,29066,,1,,6721,3/10/2023,1003-00099-0000,PROPYL PARABEN SODIUM (NIPASOL M-SODIUM),KGs,2,30/10/23,Rashid Ayub,For Doxofyl Syrup
APPROVED,1909,,2,Product Development (Common),591,17/07/18,1003-00007-0000,ASCORBIC ACID PLAIN,KGs,50,18/07/18,,ASCORBIC ACID PLAIN
APPROVED,,,2,,7310,2/2/2024,1003-00021-0000,CELLULOSE MICROCRYSTALLINE AVICEL PH102,KGs,500,28/02/24,Mumtaz,
APPROVED,30336,,2,,7049,27/12/23,1006-00024-0000,OPADRY II 85G250001 RED,KGs,5,1/3/2024,Mumtaz,
APPROVED,6518,,1,Procurement,1690,26/11/18,1006-00009-0000,EUDRAGIT RS 30 D,KGs,3,3/12/2018,,EUDRAGIT RS 30 D
APPROVED,6520,,2,Procurement,1689,26/11/18,1006-00041-0000,EUDRAGIT RL-30D,KGs,1,3/12/2018,,EUDRAGIT L 30 D-55
APPROVED,4749,,2,Engineering (Common),1113,22/09/18,4202-00003-0000,UNINTERRUPTIBLE POWER SUPPLY (UPS) BRAND: ARTIX-POWER,NOS,5,25/09/18,,UNINTERRUPTIBLE POWER SUPPLY (UPS) BRAND: ARTIX-POWERUPS :750VAFOR INDIVIDUAL PC'S USE . 
APPROVED,4749,,1,Engineering (Common),1113,22/09/18,4202-00003-0000,UNINTERRUPTIBLE POWER SUPPLY (UPS) BRAND: ARTIX-POWER,NOS,1,25/09/18,,UNINTERRUPTIBLE POWER SUPPLY (UPS) BRAND: ARTIX-POWERUPS :750VAFOR INDIVIDUAL PC'S USE . 
APPROVED,8174,,1,Networking,2192,18/03/19,4205-00014-0000,LAPTOP,NOS,1,21/02/19,,LAPTOP
APPROVED,5565,,1,Networking,1454,26/10/18,4205-00014-0000,LAPTOP,NOS,4,25/10/18,,Toshiba Z40 Ci5 4th Generation 256 GB SSD 8 GB RAM with Carrying Case (USED)
APPROVED,5357,,3,Networking,1356,16/10/18,4205-00034-0000,LCD 19 INCH,NOS,10,19/10/18,,TO MAINTAIN INVENTORY
APPROVED,28578,,5,Utilities,6666,7/9/2023,4157-00010-0000,SPLIT AIR CONDITION 1 TON,NOS,1,11/8/2023,,"REQUIRED AIR CONDITIONS FOR HEAD OFFICE , QA PRODUCTION OFFICE & BMS ROOM"
APPROVED,517,,1,,206,24/05/18,4352-00083-0000,SULPHATE RESISTANT CEMENT (SRC),BAG,200,18/05/18,,SULPHATE RESISTANT CEMENT (SRC)-BAGS  (REQUIRED FOR PROPOSED WAREHOUSE CONSTRUCTION AT PLOT-72)
APPROVED,3928,,11,Directors,899,28/08/18,4351-00015-0000,WATER DISPENSER,NOS,1,3/9/2018,,REQUIRED FOR 35/H
APPROVED,7945,,22,Directors,2194,18/03/19,5101-00027-0000,TUBE LIGHT 36 WATT,NOS,6,28/02/19,,REQUIRED FOR 35/HAlready Purchased
APPROVED,7945,,2,Directors,2194,18/03/19,5101-00009-0000,BULB HALOGEN RODS (500 WATT),NOS,12,19/03/19,,REQUIRED FOR 35/HAlready Purchased
APPROVED,,,1,Engineering (Common),7235,25/01/24,5109-00001-0000,"WINDING WIRE (COPPER) SIZE NO. 20, MAKE: GHAZI",KGs,5,1/2/2024,Abuzar Hasani,REQUIRED FOR CHILLER PUMP MOTOR. PLOT-58
APPROVED,,,11,,7148,15/01/24,5105-00008-0000,CIRCUIT BREAKER 6 AMP SINGLE PHASE,NOS,7,15/01/24,Abuzar Hasani,
APPROVED,8966,,2,Electrical,2414,15/04/19,5107-00002-0000,CONTACTOR FC18 220V MAKE:GREEN POWER,NOS,2,19/04/19,,REQUIRED FOR RENTAL COLD ROOM AND WARE HOUSE BASEMENT COLD ROOM.
APPROVED,5275,,4,Admin Common,1304,11/10/2018,5111-00011-0000,FUSE 55 AMP,NOS,10,17/10/18,,"ARRANGED AUTO PARTS FOR ADMIN POOL  VEHICLE SUZUKI HI-ROOF CW-1069 (104,141KM)."
APPROVED,886,,2,Engineering (Common),253,31/05/18,5113-00022-0000,HEATER,NOS,20,7/6/2018,,SERVO DRIVE LXM23DUO2M3X BRAND: SCHNIDER ELECTRIC 
APPROVED,5388,,4,Packaging (Common),1385,19/10/18,5122-00091-0000,ADOPTER 9 VOLT DC 300 MA,NOS,5,19/10/18,,FOR PACKAGING AREA .AC ADOPTER 
APPROVED,7945,,12,Directors,2194,18/03/19,5122-00042-0000,FAN BRACKET 18'',NOS,2,19/03/19,,REQUIRED FOR 35/HAlready Purchased
APPROVED,7509,,1,Admin Common,2003,2/1/2019,5122-00079-0000,BATTERY TERMINALS MEDIUM,NOS,2,8/1/2019,,"ARRANGED AUTO PARTS FOR VEHICLE SUZUKI MEHRAN AXF-205 Mr. AFZAL IMAM (129,000KM)."
APPROVED,26539,,5,Sterile (Common),6108,9/1/2023,5122-00150-0000,MAGNETIC DOOR LOCK,NOS,1,28/11/22,,REQUIRED REPLACEMENT/SPARE PART FOR PASS THROUGH WINDOWS. STERILE PRODUCTION
APPROVED,3754,,3,Engineering (Common),972,5/9/2018,5122-00211-0000,MAGNET DOOR SWITCH,NOS,2,29/08/18,,Required for Emergency gate for emergency exit system of production of plot 58
APPROVED,11648,,1,Directors,3595,20/10/19,5122-00172-0000,"BOX PVC OPEN 7"" X 4""",NOS,1,4/9/2019,,WIRE CLIP 8 NO
APPROVED,28151,,2,Sterile (Common),6537,3/7/2023,5122-00226-0000,LIGHT FIXTURE FLOURECENT DUST PROOF 2 X 36W BRAND: UNILUX,NOS,45,21/06/23,,REQUIRED FOR NAL PANEL ROOMS LOCATED ON ROOF.
APPROVED,11717,,1,Warehouse,3578,17/10/19,5122-00258-0000,"BEND PVC BEND 1"" GALGO",NOS,24,9/9/2019,,Required for Engineering Dept and Used for wiring in between canteen and production building
APPROVED,5088,,3,Admin Common,1269,8/10/2018,5122-00272-0000,"CABLE TIE NYLON SIZE: 10""",PKS,2,15/10/18,,REQUIRED CCTV COMPLETE SYSTEM FOR OFFSITE WAREHOUSE.
APPROVED,11941,,3,Utilities,3868,7/11/2019,5207-00013-0000,"NUT S S SIZE: 5/8""",NOS,12,26/09/19,,REQUIRED FOR BOILER
APPROVED,6171,,3,Admin Common,1577,9/11/2018,5221-00048-0000,OIL SEAL,NOS,1,16/11/18,,ARRANGED SERVICE WORK OF VEHICLE SUZUKI HI-ROOF CX-9744 CORPORATE PREMISES (7129 KM).
APPROVED,16614,,65,,4868,11/9/2020,5221-00066-0000,OIL SEAL 35X50X8,NOS,6,11/9/2020,,
APPROVED,7910,,2,Admin Common,2196,18/03/19,5222-00039-0000,BALL BEARING 6305 ZZ MAKE: NTN,NOS,1,31/01/19,,REQUIRED FOR HVAC & ELECTRICAL DEPARTMENT.
APPROVED,3827,,4,Mechanical,879,17/08/18,5224-00026-0000,SHEET TEFLON,NOS,1,23/08/18,,Required for Pyodine Filling Machine maintenance
APPROVED,13941,,193,,4468,14/01/20,5231-00069-0000,V.BELT A-80,NOS,4,14/01/20,,
APPROVED,5968,,4,Admin Common,1519,5/11/2018,5232-00073-0000,VALVE OF DCP TYPE FIRE EXTINGUISHER,NOS,2,8/11/2018,,ARRANGED REFILLING OF FIRE EXTINGUISHER AT BROOKES.
